,Title,Link,Genre,Developer,Publisher,Released in: Japan,Plots
437,Unavowed,/wiki/Unavowed,Adventure,Wadjet Eye Games,Wadjet Eye Games,"July 7, 2021"," Unavowed features a classic point-and-click style of gameplay reminiscent of the Monkey Island series or the various Quest games (such as King's Quest, Police Quest etc.) by Sierra Entertainment. In addition, the game offers more modern elements, such as choosing teammates for certain missions and a story that is influenced by the player's choices. Players can choose to play as a male or female character and must choose one of three backgrounds: actor, bartender or cop. Each background alters the interaction with other characters and the dialogue noticeably. The game plays out in an episodic fashion similar to television shows with the player choosing which site to visit and which characters to bring with them at the beginning of each mission. In the mission, non-player characters have to be talked to and clues analyzed, culminating in a confrontation in which the player must decide the fate of a character or being, often with moral and lasting consequences. Then the team returns to their headquarters to start a new mission. All characters feature full voice-acting, except the protagonist, who remains mute throughout the game except when not controlled by the player. Instead of engaging in combat, players are tasked to defend themselves against enemies by solving puzzles that range from deciphering code to releasing creatures before they can cause more harm. While there are some actions that lead to failure, the player cannot die or reach a game over; making mistakes merely resets the game to the state before the mistake. The game allows saving outside of dialogue but limits the amount of save files to 50.  Depending on the choice of companions, the dialogue and choices within the mission will be altered as will the puzzles, with each area providing different solutions based on the companions' abilities. For example, a mission with Logan as a companion will feature ghosts that can be talked to and used to help solve puzzles but those ghosts will not be in the same mission if Logan is not chosen to accompany the protagonist. During each mission, one or more flashbacks of the possessed protagonist's actions will happen, allowing the player to extrapolate their next actions based on their vision of the past.  "
440,Undertale,/wiki/Undertale,Role-playing,8-4,8-4,"September 15, 2018"," Undertale is a role-playing game that uses a top-down perspective. In the game, the player controls a child and completes objectives in order to progress through the story. Players explore an underground world filled with towns and caves, and are required to solve numerous puzzles on their journey. The underground world is the home of monsters, many of whom challenge the player in combat; players decide whether to kill, flee, or befriend them. Choices made by the player radically affect the plot and general progression of the game, with the player's morality acting as the cornerstone for the game's development.  When players encounter enemies in either scripted events or random encounters, they enter a battle mode. During battles, players control a small heart which represents their soul, and must avoid attacks unleashed by the opposing monster similar to a bullet hell shooter. As the game progresses, new elements are introduced, such as colored obstacles, and boss battles which change the way players control the heart. Players may choose to attack the enemy, which involves timed button presses. Killing enemies will cause the player to earn EXP (in turn increasing their LOVE) and gold. They can use the ACT option to check an enemy's attacking and defending attributes as well as perform various other actions, which vary depending on the enemy. If the player uses the right actions to respond to the enemy, or attacks them until they have low HP (but still alive), they can then choose to spare them and end the fight without killing them. For some boss encounters to be completed peacefully, the player is required to survive until the character they are facing has finished their dialogue. The game features multiple story branches and endings depending on whether players choose to kill or spare their enemies; and as such, it is possible to clear the game without killing a single enemy.  Monsters will talk to the player during the battle, and the game will tell the players what the monster's feelings and actions are. Enemy attacks change based on how players interact with them: should players choose non-violent options, enemy attacks are easy, whereas they become less easy if players choose violent options. The game relies on a number of metafictional elements in both its gameplay and story. When players participate in a boss battle on a second playthrough, the dialogue will be altered depending on actions in previous playthroughs.   Undertale is set in the Underground, a realm where monsters were banished after war broke out with humans. The Underground is sealed from the surface by a magic barrier with a singular gap at Mount Ebott. In the year 201X, a human child falls into the Underground from Mount Ebott and encounters Flowey, a sentient flower who teaches the player the game's mechanics and encourages them to raise their ""LV"", or ""LOVE"", by gaining ""EXP"" through killing monsters. When Flowey attempts to kill the human, the human is rescued by Toriel, a motherly goat-like monster, who teaches them how to survive conflict in the Underground without killing. She intends to adopt the human, wanting to protect them from Asgore, the king of the Underground.  The human eventually leaves Toriel to search for Asgore's castle, which contains the barrier to the surface world. They encounter several monsters, such as the skeletons Sans and Papyrus, two brothers who act as sentries for the Snowdin forest; Undyne, the head of the royal guard; Alphys, the kingdom's royal scientist; and Mettaton, a robotic television host Alphys created. Most of the monsters are fought, with the human choosing whether to kill them or to spare and possibly befriend the monster. During their travels, the human learns that many years ago, Asriel, the son of Asgore and Toriel, befriended the first human who fell into the Underground. When the child abruptly died, Asriel used the child's soul to pass through the barrier, intending to return the body to the surface. The humans living there attacked and killed Asriel, causing Asgore to declare war. In the present day, Asgore has collected six souls from fallen humans, of which he needs one more to destroy the barrier.  The game's ending depends on how the player handles encounters with monsters. If the player completes a playthrough without killing any monsters (or killed some but not all of the monsters) they experience the ""Neutral"" ending. The human arrives at Asgore's castle and is forced to fight him. Sans stops the human before their confrontation, revealing that the human's ""LOVE"" and ""EXP"" are acronyms for ""level of violence"" and ""execution points"", respectively. Sans judges the human based on their accumulated ""LOVE"" and ""EXP"". The human then fights Asgore, but Flowey interrupts, killing Asgore and stealing the human souls. With the help of the souls, the human defeats Flowey and leaves the Underground. They then receive a phone call from Sans, detailing the state of the Underground after the human's departure.  If the player kills no monsters before completing a ""Neutral"" ending, they can reload their saved game to complete the ""Pacifist"" ending. Flowey is revealed to be a reincarnation of Asriel accidentally created by Alphys's experiments. During the fight with Asgore, Toriel stops the battle and is joined by the other monsters the human befriended. Flowey ambushes the group, absorbing the souls of all the humans and monsters in order to take an older Asriel's form. During the ensuing fight, the human manages to connect with the souls of their friends, and eventually defeats Asriel: He reverts to his child form, destroys the barrier, and expresses remorse for his actions before leaving. The human falls unconscious and is awoken to see their friends surrounding them. The monsters peacefully reintegrate with the humans, while the human has the option of accepting Toriel as their adoptive mother.  A third ending known as the ""No Mercy"" or ""Genocide"" ensues if the player kills all the monsters. When the human reaches Asgore's castle, Sans attempts to stop them, but fails and is slain. Flowey kills Asgore in an attempt to obtain mercy, but is killed by the human. Chara, the first fallen child, then appears and destroys the universe. To enable further replays of the game, the player must give their soul to Chara, restoring the universe and causing a permanent alteration to the Pacifist ending.  "
441,Unepic,/wiki/Unepic,Role-playing,Francisco Téllez de Meneses,Ninagamers,"December 15, 2017"," Unepic is a role-playing platformer and Metroidvania game, and includes a number of RPG elements, such as levels, skill points, and equipment. It has non-linear gameplay, and was inspired by the MSX game Maze of Galious. Players can utilize a number of melee and ranged weapons and armors as determined by their level and skill points assigned to an applicable type of equipment. Simple crafting for potions is also available in limited locations, and merchants are present throughout the game, believing the player is a possessed monster. Also included are UNepic Points which are awarded for completion of long and difficult challenges, and allow the purchase of powerful and comical equipment, such as laser guns, flamethrowers, and rocket launchers.   Daniel was just an average guy. He was a great videogame player, a big fan of sci-fi movies, and a novice RPG player. In the midst of an RPG, he was teleported to a castle. At first, Daniel believed that he was having a massive hallucination. Eager to keep playing within the RPG to create his own adventure, he decides to go along for the ride until his delirium comes to an end.  Once inside the castle, Daniel is inhabited by a mysterious shadow. This dark spirit can communicate with Daniel, but not control him. The shadow has a simple goal: to escape from the prison of Daniel's body. There's a catch, though: The dark spirit can only escape if Daniel perishes.  Struggling against enemies in the castle, with the dark spirit attempting to murder him at every turn. Daniel finally discovers his goal: to kill Harnakon, the master of the castle, and free the Pure-Spirits who are trapped within. While the stage seems set for a typical role-playing adventure, Daniel will soon discover that everything is not what it seems.  "
442,Unexplored Unlocked Edition,/wiki/Unexplored,Roguelike,Ludomotion,Digerati,"August 9, 2018", Unexplored games are roguelike action role-playing games. The first game's objective is to reach the deepest floor of the dungeon and retrieve the Amulet of Yendor. The second game's objective is to destroy the Staff of Yendor. The second game features 3D graphics as opposed to the first game's top-down 2D graphics.  
443,Unforeseen Incidents,/wiki/Unforeseen_Incidents,Point-and-click adventure,Backwoods Entertainment,Application Systems Heidelberg,"January 27, 2022"," Harper Pendrel, a handyman, learns that a mysterious virus is killing citizens in Yelltown.  Aided by a local academic and a reporter, Pendrel attempts to uncover who has unleashed the virus and why.  Players control Pendrel as he performs his investigation. Rock, Paper, Shotgun described the puzzles as ""extremely traditional"" for an adventure game but said they differ from the usual implementation by having solutions in which the protagonist is not manipulative toward people who are supposedly his friends.  For example, solutions may involve helping a friend to address a personal problem rather than exploiting it.  As a handyman, Pendrel also solves some puzzles through the use of his tools.  Items may be picked up and used to solve inventory-based puzzles, but some items are red herrings that do not have any in-game use.  "
445,Unravel Two,/wiki/Unravel_Two,Puzzle platformer,Coldwood Interactive,Electronic Arts,"March 22, 2019"," While Unravel was only single-player, Unravel Two is both a single-player and a multiplayer game, however only in local co-op. The game focuses on two Yarnys (which can be controlled by one or two players) which must work together in order to solve puzzles and manipulate the world. The game's main storyline is set on an island, and it includes additional, more difficult challenge levels.   A red Yarny is separated from his home and his owner in a storm at sea, and is washed ashore with his yarn being cut to a dead end. He encounters a blue Yarny among the shipwreck and the two connect their dead ends together, forming a bond. A spark emerges from the connection and the continuous objective of the game is to chase it. The two Yarnys explore the forest and the underground before emerging to ground level and taking residence in an abandoned lighthouse - the game's loading hub.  The Yarnys enter the corridor of an adoption home where a young boy is attempting to escape abusive adults, and the Yarnys help him by using the spark to chase the adults off. A boy knocks on his bedroom window, and he escapes with him through the rooftop. The Yarnys follow the children through a small park, and the adults take the form of dark shadows with red sparks that disintegrate the Yarnys on touch.  The Yarnys emerge in a sunny countryside setting in the midst of midsummer celebration, but as the children are mistreated by the intoxicated adults, the setting turns dark and threatening. The Yarnys run from the shadows and, along with the children, hide from the adults. They are chased through the forest by a capercaillie, narrowly escaping. As the children play and go swimming in the forest, the Yarnys explore the woods and are chased through a lake by a northern pike.  By nighttime, adults search for the children with flashlights and hounds in an old factory. The boy is caught and locked up, but later escapes when the Yarnys cause a machine to malfunction, causing a mayhem distracting the adults, and the children are reunited. The Yarnys help the children hide by chasing the adults off with the spark, and finally break out of the factory. A truckload of wooden logs crashes onto an electrical fence, starting a forest fire that spreads to the buildings and stables. The boy rescues the boy from the fire when he is stuck in branches by a stream. The Yarnys struggle their way through, and the children are seen rescuing the stable horses from the fire before themselves running into safety.  Initially, the Yarnys go through the ruins of the forest ravaged by wildfire, and go through an abandoned watermill, gradually making it active again, and they follow the water to the nearby rapids in a sunny setting. The children are seen pushing an adult into the current. In the final cutscene, the lighthouse is surrounded by dark spirits, but the spark chases them away and a group of Yarnys of various shapes and colors appear. Together they bring the spark to the center of the lighthouse and its light is restored, and the storm outside passes over.  "
446,Unruly Heroes,/wiki/Unruly_Heroes,Action-adventure,Magic Design Studios,Magic Design Studios,"January 23, 2019"," Unruly Heroes features four characters (Sanzang, Wukong, Kihong and Sandmonk), that can be switched anytime. Each of them have their own unique skills and traits, like double-jump, gliding, or powers activated by special statues. There are character-specific statues that can be used by pushing them into the right place. While the game is based on Journey to the West, it differs a lot compared to it, making an adventure that is more humorous and lighthearted. All levels are done in a Donkey Kong Country-esque way, in which the path forward is always clear, with branching paths along the way that usually lead to extra rewards. The game inherited the combo-based combat system from Prince of Persia while also using puzzles for progression, which is present in all of the 29 levels available.  Outside of a single-player adventure, the game can be played with up to four players. In the Underworld, the players will control child versions of the characters. There is also a Player versus Player mode, where battles can be done locally or online.  "
449,Untitled Goose Game,/wiki/Untitled_Goose_Game,Stealth,House House,Panic,"September 20, 2019"," Set in an idyllic English village, players control a domestic goose that can honk, duck down, run, flap its wings, and grab objects with its beak to bother various human villagers. The village is split up into multiple areas, each of which has a ""to do"" list of objectives, such as stealing certain objects or tricking humans into doing specific things. When enough of these objectives are cleared (one fewer than the total), an additional objective is added which, once cleared, allows the goose to move on to the next area. After completing four areas, the goose enters a miniature model of the village. There, the goose steals a golden bell before going back through the previous areas while the villagers try to stop it.   The goose deposits the bell into a ditch full of several other bells it has stolen. There are several hidden optional objectives, many of which require traversing multiple areas or completing an area within a time limit. Completing all the optional objectives rewards the player with a crown for the goose to wear.  A co-operative local multiplayer option, added in a later update, allows a second player to control a second goose, with both geese trying to accomplish the goals together.  "
451,Urban Trial Playground,/wiki/Urban_Trial_Playground,Racing,Teyon,Tate Interactive,"April 5, 2018", Urban Trial Freestyle is a racing game.  
452,Use Your Words,/wiki/Use_Your_Words,Party,Smiling Buddha Games,Screenwave Media,"August 3, 2017"," Use Your Words is a game for 3–6 players and is played similar to The Jackbox Party Pack in that players play on a browser with web-enabled devices. Four mini-games are played throughout a single game:  In any given round, players vote on their favorite answer (or the answer they consider to be the most strategically advantageous), and players whose answers receive votes are awarded points. Points are also deducted from a player's score if they vote for a House Answer. House answers are built-in answers written by the development team and designed to add an element of chaos as well as additional comedy to the mix. At the end of the game, the player with the most points wins. The game also has a ""Spectator Mode"" where additional participants can provide ""reactions"" to each player answer, and their reactions contribute to various awards players can receive at the end of a party match.  "
454,Uta no Prince-sama Debut,/wiki/Uta_no_Prince-sama_Debut,Visual novel,Broccoli,Broccoli,"February 25, 2021"," Uta no Prince-sama is a comedy and romance visual novel in which the player assumes the character of Haruka Nanami. Uta no Prince-sama follows a branching plot line with multiple endings; depending on the decisions that the player makes during the game, the plot will progress in a specific direction.  There are seven main plot lines that the player will have the chance to experience, three of which are initially available (four in All Star). Throughout gameplay, the player is given multiple options to choose from, and text progression pauses at these points until a choice is made. To view all plot lines in their entirety, the player must replay the game multiple times and make different choices to change the plot progression. The player must also complete various minigames, which affect the different endings.   With dreams of becoming a composer and someday writing a song for her favorite idol, Haruka Nanami enters the Saotome Academy, a prestigious performing arts school made up of students who are either vying to become an idol or a music producer. Haruka becomes acquainted with six of her classmates, who are all competing to become idols. For her project, she must team up with another student as an idol-producer team, and if they are successful, they will join Shining Agency after graduation. In addition, romance is strictly prohibited at their school.  "
456,V-Rally 4,/wiki/V-Rally_4,Racing,Kylotonn,Bigben Interactive,"December 13, 2018"," V-Rally 4 is a racing game where players drive rally cars through a series of stages. The game features five disciplines, with 51 cars from 19 manufacturers, including Porsche, Skoda and Norma. Courses include Monument Valley, Niger, Romania and Malaysia.  "
458,Valfaris,/wiki/Valfaris,Platformer,Steel Mantis,JP,"October 10, 2019"," In Valfaris, the player controls Therion, who is armed with a sword and a plasma pistol. The pistol can be fired in eight directions. Therion also has access to a heavy gun and a shield. Therion's energy meter is depleted when he uses the shield or the heavy gun. The energy meter is replenished when Therion kills an enemy or loots a supply cache. Therion can use the shield to block incoming fire, but he cannot move while using it. If the shield is used at the correct time, it can send projectiles back towards enemies. Blood metal is used to upgrade Therion's weapons, making guns fire faster and giving swords longer reach. Weapons have to be upgraded at shrines. These shrines are also used as checkpoints. To activate these checkpoints, a green token called a Resurrection Idol must be used. A Resurrection Idol can be found stashed in levels. Saving Resurrection Idols up until a certain threshold rewards the player with higher health and energy. Resurrection Idols are not lost if Therion dies.  "
459,Valiant Hearts The Great War,/wiki/Valiant_Hearts_The_Great_War,Puzzle,Ubisoft Montpellier,Ubisoft,"November 8, 2018"," Valiant Hearts is a side-scrolling, puzzle-based, adventure video game which takes place during World War I. Players assume the role of four characters: Frenchman Emile, his German son-in-law Karl, American soldier Freddie, and Belgian nurse Anna.  The game comprises four chapters split into several sections. Each section requires the player to clear an objective to progress through the story. Most of these involve solving puzzles by obtaining certain items needed for the situation. Other sections include wartime segments requiring the player to survive heavy gunfire, stealth sections where the player must avoid being detected by enemies, and rhythmic car chase sections set to classic songs. Each character can interact with objects, perform a melee attack to knock out guards or smash through debris, and throw projectiles. There are also some traits unique to each character. Emile has a shovel which lets him dig through soft ground, Freddie can cut through barbed wire, and Anna can treat patients for injuries, which requires the player to time button presses.  Players can issue various commands to a dog named Walt, who is able to squeeze into small areas, hold on to and fetch certain items, activate switches, and move around without being suspected by the enemy. The game features optional collectible items hidden in each segment, facts about the war that are unlocked as the game progresses, and a hint system the player can use if they are stuck on a section after a certain amount of time.   The story begins in the year 1914. The Austro-Hungarian Empire declares war on Serbia following the assassination of Archduke Franz Ferdinand. In defense of Serbia, Russia declares war on Austria-Hungary, and Austria's ally Germany declares war on Russia in response. Anticipating war, France (who is allied with Russia) begins deporting German citizens. Karl, one of the deported Germans, is separated from his wife Marie and their son Victor, and drafted into the German army. Likewise, Marie's father and Karl's father-in-law Emile is drafted into the French army. After completing his training, Emile is thrown into combat during the Battle of the Frontiers. His unit is wiped out, and he is wounded, captured, and forced to cook for the Germans. His captor is Baron Von Dorf, who uses many advanced weapons like chlorine gas and zeppelins to defeat his foes. Karl recognizes Emile while serving under Von Dorf, but the Allies attack Von Dorf's camp and Karl is forced to flee. After he is rescued from the rubble by Walt, a German Army medical dog, Emile escapes in the confusion and meets Freddie, an American who volunteered to join the French army after his wife was killed in a German bombing raid led by Von Dorf.  Freddie and Emile meet Anna, a Belgian veterinary student who doubles as a battlefield nurse. She is tracking Von Dorf since he is forcing her father to develop advanced war machines. The three chase Von Dorf's zeppelin from Ypres to Reims. When it crashes, Von Dorf escapes with Anna's father in a biplane. Karl survives the crash and is captured and taken as a prisoner of war. Anna accompanies Karl to the prison to make sure he recovers from his wounds.  Emile and Freddie continue their pursuit to exact revenge on Von Dorf and rescue Anna's father. They assault Fort Douaumont at Verdun where Von Dorf is hiding and capture his newest war machine, a large armoured tank. Although they rescue Anna's father, Von Dorf escapes again. While Emile is separated, Freddie continues his pursuit and finally corners Von Dorf during the Battle of the Somme, defeating him in a fist fight atop his ruined tank. Despite his desire for revenge, Freddie realizes he will not gain anything by killing Von Dorf and spares his life. For his repeated failures, Von Dorf is demoted and sent away from the front lines, a fate worse than death for the status-obsessed man.  Meanwhile, in a French prisoner of war camp, Karl learns his son is ill. Determined to reunite with his family, Karl escapes the camp. Unbeknown to this, Emile believes he was killed while trying to escape. Karl encounters Anna, who helps drive him back to his farm at occupied Saint-Mihiel, but they are both captured by the Germans. Karl escapes when the Allies stage another assault that reaches his farm. He discovers it has been shelled with chlorine gas. Karl saves Marie's life by giving her his gas mask, but he succumbs to the gas. Anna arrives and saves Karl's life. When he recovers, Karl is finally reunited with his wife and son after three years of war and exile.  Back on the front lines, Emile is forced into the bloody and suicidal Nivelle offensive. As his commanding officer constantly forces his troops into the line of fire and to their deaths, Emile finally reaches his breaking point and strikes the officer with his shovel, inadvertently killing him. He is court-martialed and sentenced to death by firing squad despite the protests of other soldiers. In his final letter to Marie, Emile expresses his hatred of war, his grief at Karl's apparent death and his inability to save his son in law, and hopes that she and her family can find happiness. Emile is executed, and some time later, Karl and his family (with the newly adopted Walt in tow) visit his grave to mourn him. The story ends in 1917 when the United States officially enters the war and sends its army to Europe to fight on the Western Front. The final message states that ""Even though their bodies have long since returned to dust, their sacrifice still lives on. We must strive to cherish their memory and never forget...""  "
460,Valis The Fantasm Soldier Collection,/wiki/Valis_(video_game_series),Action,Edia,Edia,"December 9, 2021","Games  All Valis games are platform games except Valis X, an erotic visual novel released for Windows in 2006 on the 20th anniversary of the series. Developed by Eants, it was the last game published by Telenet Japan. Valis X is divided into five episodes that retell the stories of the first four games, containing copious amounts of lesbian acts and tentacle erotica.  In June 2021, on the 35th anniversary of the Valis series, Edia announced a crowdfunding campaign to bring ports of the Valis games to the Nintendo Switch. A collection of the first three games, Valis: The Fantasm Soldier Collection was released in December 2021 in Japan and in March 2022 in Western territories.  In March 2022, Edia also announced the launch of a second collection of Valis that will feature Valis IV (PC Engine), Syd of Valis (Genesis / Mega Drive) and Valis: The Fantasm Soldier (Genesis / Mega Drive).  "
461,Valkyria Chronicles,/wiki/Valkyria_Chronicles_(video_game),Tactical role-playing,Sega,Sega,"September 27, 2018"," Valkyria Chronicles is a tactical role-playing game in which the player uses a unique turn-based battle system called BLiTZ (Battle of Live Tactical Zones). During their turn the player views an overhead map in Command Mode, but zooms in to control each individual unit on the battlefield in Action Mode. Movement and other actions are handled in real time during Action Mode, though limited in movement by an action point (AP) gauge that varies for each type of character. During Target Mode, the player is in direct control of characters' aim while the action freezes, allowing for head shots and other maneuvers. Taking command of individual units during the player's phase costs Command Points, which can be used dynamically to grant movement to many different units or the same unit consecutively with diminishing AP reserve, depending on what the player wants to accomplish. By using their troops the player must fulfill various conditions depending on the mission in order to achieve victory, most often the capture of a major enemy encampment. Upon completing missions, the player is awarded money and experience with which to upgrade their materiel and character classes, respectively, and the game's story is advanced. Missions can be failed if the player's forces are wholly incapacitated or killed, the squad's main battle tank is destroyed, or the player's main base camp is captured by the enemy.  Each character in the game fulfills a specific role — for instance, Alicia is a mid-range rifle-toting scout, while Welkin is a tank commander. Other roles include Shocktroopers (assault infantry), ""Lancers"" specializing in anti-tank warfare, snipers, and engineers. These various units form a rock-paper-scissors dynamic of strength and weakness. The foot soldiers (Scout, Shocktrooper, and Sniper) are effective against slower anti-tank units, anti-tank units can quickly destroy tanks with a well-aimed shot, and tanks are generally devastating against infantry, whose anti-personnel weapons are unable to inflict any significant frontal damage. While each character within a class is basically similar in terms of weaponry and statistics, each individual has a distinguishing set of Potentials: special abilities or stat modifiers triggered by various psychological or environmental factors in battle.  The environment also factors heavily in combat. In an urban level, for example, snipers can be sent onto rooftops to eliminate unsuspecting enemies below. Tanks can knock down walls and other obstacles to open new paths. Buildings and other structures offer hard cover around which to maneuver. Foliage offers soft cover to reduce the chance of being spotted by the enemy and to confound their aim when seen. As the Gallian forces advance across the battlefield, control points can be captured, giving the player a tactical advantage and offering additional locations in which to call reinforcements. As Welkin, the player can issue various Orders for the purpose of things such as artillery strikes, supervising medics, and improving offensive or defensive capabilities of various characters.   In 1935 E.C., the continent of Europa is dominated by two superpowers: The Autocratic East Europan Imperial Alliance in the east and a commonwealth of loosely allied democracies known as the Atlantic Federation in the west. The economies of both powers depend on a precious multipurpose mineral called Ragnite. Its growing scarcity results in the Empire declaring war on the Federation, sparking the Second Europan War. The Empire uses its military superiority to quickly put the Federation on the defensive. Emboldened by their progress and momentum, the Empire decides to invade the neutral Principality of Gallia to seize its rich Ragnite deposits.  When Imperial forces launch an attack on the Gallian border town of Bruhl, Welkin Gunther, son of the country's hero General Belgen Gunther, is forced to fight for his life alongside the town watch captain, Alicia Melchiott. Together with Welkin's adopted sister Isara and using Belgen's prototype tank from the first war, the Edelweiss, they escape to the capital city of Randgriz and join the Gallian militia. Welkin is promoted to the rank of Lieutenant and assumes command of the newly formed Squad 7, with Alicia acting as his non-commissioned officer. Members of the squad initially question Welkin's qualifications due to a lack of combat experience. He quickly gains their trust and loyalty, however, with his brilliant tactics. Welkin and Alicia soon become romantically engaged, but tragically, Isara is killed by an Imperial sniper.  After Squad 7 wages a successful campaign against Imperial forces, the crown prince Maximilian deploys one of his commanders, Selvaria Bles, a rare descendant of the Valkyrians who are believed to have saved the ancient world from the Darcsen race. Using innate magic powers and equipped with a legendary Ragnite lance and shield, Selvaria destroys the Gallian army. Alicia is shot by Welkin's archaeologist colleague Faldio Landzaat to awaken her own latent Valkyrian powers. Alicia is able to drive Selvaria back, allowing the Gallians to advance to the border. At the cost of her own life, Selvaria uses the ""final flame"" after the capture of the Ghirlandaio fortress, killing the entire core of Gallian military and leaving only the militia, including Squad 7, remaining.  In an attempt to create his own empire, Maximilian uses a ""land dreadnought"", the Marmota, to break through Gallia's defenses and steal a giant Valkyrian lance from inside Randgriz Castle. The princess reveals herself to be Darcsen - the Valkyrians rewrote history to make themselves into heroes, while an allied Darcsen tribe gained Randgriz as the spoils. With Alicia's help, Squad 7 is able to board the Marmota and send Maximilian to his demise, destroying the dreadnought and ending the conflict between the two factions. Alicia and Welkin return to Bruhl, where they marry and raise a daughter named Isara together.  "
462,Valkyria Chronicles 4,/wiki/Valkyria_Chronicles_4,Tactical role-playing,Sega,Sega,"September 25, 2018"," Valkyria Chronicles 4 is a strategy game in the style of the first three games in the series. It introduces a new soldier class known as the Grenadier, who can fire mortar rounds at enemies. If allied soldiers are present to provide battlefield information, they can fire without being seen by hostile forces. When a soldier in your army is on the verge of death, there is a fixed chance that a new system called ""Brave"" will be activated. When used, players can choose to either restore one Command Point (CP) and increase the ability of a nearby ally, counter the enemy's attack (if downed on enemy's turn) or restore Action Points (AP) to the unit and enable it to move and attack once in an invincible state (if downed on player's turn).   Claude Wallace and his childhood friends Kai Shulen and Raz join the Federation Army in order to fight the Empire in the Second Europan War, both to protect their home country of Gallia and avenge an Imperial attack on their hometown of Hafen. However, during training, Kai mysteriously disappears, leaving his sister Leena to take his place as ""Kai"". Claude, Raz, and Leena are able to pass training and join the elite Ranger Corps, with Claude being assigned command of Squad E.  Squad E is then informed that the Empire has the upper hand, capturing a large amount of Federation territory as well as initiating an invasion of Gallia. Federation leaders decide to put all of their resources into Operation Northern Cross, a massive offensive with the objective of pushing straight to the Imperial capital of Schwartzgrad. The operation is initially successful, with Squad E managing to push through Imperial territory. Along the way, they are joined by another childhood friend, Riley Miller. Riley is initially mistrustful of Claude due to him running away from a fire that killed Riley's family, but eventually accepts his command when he proves his worth as a leader. Squad E continues the offensive by breaking the Siegval Line, Schwartzgrad's final line of defense. Along the way, they battle the elite Imperial tank unit Ausbruch, led by Klaus Walz, who considers Claude a worthy rival. However, despite the Federation's early success, winter comes earlier than expected, halting the unprepared Federation forces. Crippled by the snow and cold and weakened by stretched supply lines, the Federation forces are quickly routed by a massive Imperial counterattack. Squad E is forced to flee to the coast, where they are rescued by a trio of highly advanced Federation snow cruisers; massive warships that can travel over the ice of the Crystal Sea.  After coming aboard one of the cruisers, the Centurion, Claude is assigned by Captain Morgen to protect the warship as the fleet carries out Operation Cygnus, a contingency plan to attack Schwartzgrad from the sea in case Operation Northern Cross failed. Meanwhile, Walz is assigned to X-0, an elite Imperial science unit led by Lord Heinrich Belgar. Belgar tasks Walz with intercepting and capturing the Federation fleet, and teams him up with his chief strategic officer, Forseti and the Valkyria Crymaria. Forseti leads an attack on the fleet, prompting Squad E to respond, but Crymaria intervenes against Forseti's orders, and she loses control of her powers, destroying one of the cruisers and heavily damaging the Centurion before it escapes. Forseti is furious since their mission was to capture the cruisers intact, and he reveals to Walz that he has planted his sister as a spy aboard the Centurion in order to track its movements. Walz then witnesses how Crymaria is mistreated by her handlers and begins to show her compassion.  Meanwhile, the crew of the Centurion tries to repair the damage to their ship, but its main reactor has been knocked offline, forcing the ship to run at a fraction of its speed on the backup engine. At the same time, Riley finds a young amnesiac girl named Angie in the engine room, and the crew assumes her to be a stowaway. Squad E begins to take a liking to Angie as she befriends everybody. During a raid on an Imperial supply base, Angie sneaks ashore and meets Crymaria, who realizes Angie is a Valkyria as well. It is also revealed that Forseti is the real Kai, now working for the Empire and manipulating Leena into spying for him. Leena decides to cut ties with Forseti, declaring her brother dead. Claude then receives word that the third ship in the fleet is under attack. Despite knowing it is a trap, Squad E attempts to rescue the ship, but it self destructs, creating a massive explosion. Knowing that the Centurion can't escape the blast unless at full speed, Angie places herself inside the reactor, revealing herself to be the power source. Captain Morgen is wounded during the fighting and reveals the true scope of Operation Cygnus to Claude. The reactors that power the snow cruisers use energy given off by Valkyria placed inside them. In addition, the reactors also double as weapons dubbed the ""A2 bomb"", powerful enough to destroy an entire city. Operation Cygnus' true objective isn't to invade Schwartzgrad, but completely destroy it with the A2 bomb.  Claude is placed in command of the Centurion and he reluctantly proceeds with the mission. Walz and Crymaria attempt to stop him but are defeated. Crymaria loses control of her powers again after believing Walz was killed, but he appears and helps calm her down, promising her that they will live a happy life together after the war. The Centurion continues towards Schwartzgrad but is caught in a trap. Raz sacrifices himself to disable the trap and the ship continues on, plowing into the center of Schwartzgrad. Forseti boards the ship, intent on rescuing Angie since he had previously been part of the secret Federation program to acquire Valkyria for the reactor experiments, and his guilt motivated him to defect to the Empire. Leena shoots and kills Forseti before he can reach the reactor. Claude then prepares to detonate the A2 bomb, but the Empire offers a ceasefire to the Federation, ending the war with no clear victor. Belgar ignores the ceasefire and attacks the Centurion, obsessed with seizing its reactor and perfecting the technology. Squad E is able to defeat and kill Belgar, but the Centurion is severely damaged and begins to sink. Claude is able to narrowly rescue Angie and Riley from the sinking ship.  Afterwards, the Second Europan War comes to an end with neither the Federation nor Empire achieving a decisive victory, but everybody is glad to see peace return. Walz lives happily with Crymaria at his side. Squad E disbands and the survivors pursue their own interests while Claude, Riley, Leena, and Angie return to Hafen to live in peace.  "
